id,x_px,y_px
1,1591.984321604266,270.23832288106996
2,1591.984321604266,362.47986405798247
3,1636.7873558901952,275.50926809117937
4,1644.693773705359,367.7508092680914
5,1829.1768560591836,275.50926809117937
6,1834.447801269293,373.0217544782008
7,1895.0636711855495,280.7802133012883
8,1889.7927259754401,383.56364489841917
9,2071.6403357242107,278.14474069623384
10,2066.3693905141013,370.38628187314634
11,2145.4335686657405,275.50926809117937
12,2129.6207330354127,359.84439145292754
13,2322.010233204401,270.23832288106996
14,2316.7392879942918,367.7508092680914
15,2379.9906305156032,278.14474069623384
16,2374.7196853054943,375.6572270832553
17,2485.409534717789,797.3328438919975
18,2585.5574937098654,797.3328438919975
19,2675.163562281723,799.9683164970525
20,2490.6804799278984,857.9487138082545
21,2582.9220211048105,857.9487138082545
22,2677.7990348867775,857.9487138082545
23,2498.5868977430623,1060.8801043974618
24,2590.8284389199744,1058.244631792407
25,2683.069980096887,1058.244631792407
26,2485.409534717789,1116.2250291036091
27,2590.8284389199744,1116.2250291036091
28,2685.7054527019413,1108.3186112884453
29,2482.774062112734,1311.2500018776525
30,2585.5574937098654,1316.5209470877617
31,2680.4345074918324,1313.885474482707
32,2488.0450073228435,1369.2303991888546
33,2585.5574937098654,1366.5949265837999
34,2685.7054527019413,1366.5949265837999
35,2567.1091854744827,1569.526317173007
36,2661.9861992564497,1561.6198993578432
37,2564.4737128694283,1616.9648240639906
38,2659.3507266513952,1622.2357692740998
39,2564.4737128694283,1814.6252694430884
40,2664.6216718615046,1827.8026324683617
41,2569.744658079537,1885.7830297795638
42,2664.6216718615046,1872.6056667542905
43,2625.089582785685,2038.6404408727328
44,2622.4541101806303,2130.881982049645
45,2619.8186375755754,2228.394468436667
46,2569.744658079537,2036.0049682676781
47,2559.202767659319,2128.2465094445906
48,2567.1091854744827,2225.758995831612
49,2351.000431860002,2115.0691464193173
50,2361.542322280221,2209.9461602012843
51,2290.3845619437457,2125.6110368395357
52,2293.0200345488,2223.1235232265576
53,1605.1616846295392,2101.891783394044
54,1613.068102444703,2204.6752149911754
55,1557.723177738556,2107.1627286041535
56,1573.5360133688837,2209.9461602012843
57,1365.333677569567,2036.0049682676781
58,1362.6982049645123,2117.704619024372
59,1360.0627323594579,2207.31068759623
60,1309.9887528634197,2030.734023057569
61,1309.9887528634197,2136.1529272597545
62,1302.0823350482558,2225.758995831612
63,1283.6340268128731,1885.7830297795638
64,1383.7819858049495,1883.147557174509
65,1280.9985542078186,1827.8026324683617
66,1394.323876225168,1825.167159863307
67,1286.2694994179278,1622.2357692740998
68,1381.1465131998948,1627.5067144842092
69,1476.023526981862,1624.8712418791545
70,1283.6340268128731,1566.8908445679524
71,1381.1465131998948,1572.1617897780618
72,1468.117109166698,1558.9844267527885
73,1278.363081602764,1363.9594539787452
74,1386.4174584100042,1369.2303991888546
75,1299.446862443201,1303.3435840624884
76,1381.1465131998948,1303.3435840624884
77,1291.5404446280372,1092.5057756581173
78,1375.8755679897856,1092.5057756581173
79,1296.8113898381464,1031.8899057418607
80,1396.9593488302228,1031.8899057418607
