id,x_px,y_px
1,1863.437999924894,299.228521536671
2,1863.437999924894,386.1991175034741
3,1918.7829246310412,293.9575763265616
4,1924.0538698411506,383.56364489841917
5,2108.5369521949756,296.59304893161607
6,2108.5369521949756,394.105535318638
7,2166.5173495061777,296.59304893161607
8,2177.059239926396,391.4700627135835
9,2364.1777948852755,296.59304893161607
10,2356.2713770701116,388.8345901085286
11,2414.2517743813137,293.9575763265616
12,2414.2517743813137,386.1991175034741
13,2590.8284389199744,293.9575763265616
14,2596.0993841300838,386.1991175034741
15,2651.4443088362314,296.59304893161607
16,2654.079781441286,396.74100792369245
17,2756.8632130384167,828.9585151526535
18,2854.3756994254386,826.3230425475986
19,2951.88818581246,821.0520973374896
20,2759.4986856434716,884.3034398588009
21,2867.553062450712,881.6679672537462
22,2962.430076232679,884.3034398588009
23,2772.676048668745,1089.8703030530628
24,2864.917589845657,1079.3284126328442
25,2951.88818581246,1081.9638852378987
26,2772.676048668745,1139.9442825491008
27,2867.553062450712,1139.9442825491008
28,2962.430076232679,1145.2152277592102
29,2851.7402268203837,1342.875673138308
30,2962.430076232679,1337.6047279281988
31,2862.2821172406025,1403.4915430545648
32,2959.794603627624,1398.2205978444556
33,2862.2821172406025,1598.5165158286081
34,2954.523658417515,1593.2455706184987
35,2859.646644635548,1645.9550227195916
36,2954.523658417515,1648.5904953246463
37,2862.2821172406025,1854.157358518908
38,2962.430076232679,1859.4283037290174
39,2867.553062450712,1922.6796462503287
40,2970.3364940478427,1912.13775583011
41,2588.19296631492,2173.0495437305194
42,2593.4639115250293,2260.0201396973225
43,2474.86764429757,2167.77859852041
44,2474.86764429757,2267.9265575124864
45,2408.9808291712043,2154.601235495137
46,2414.2517743813137,2265.291084907432
47,2232.4041646325436,2175.685016335574
48,2227.133219422434,2270.5620301175413
49,2174.4237673213415,2178.320488940629
50,2174.4237673213415,2270.5620301175413
51,1984.6697397574076,2167.77859852041
52,1987.305212362462,2262.6556123023774
53,1929.32481505126,2167.77859852041
54,1929.32481505126,2262.6556123023774
55,1568.2650681587743,1922.6796462503287
56,1663.1420819407413,1922.6796462503287
57,1565.6295955537198,1864.6992489391266
58,1663.1420819407413,1859.4283037290174
59,1560.3586503436104,1653.8614405347555
60,1657.8711367306319,1653.8614405347555
61,1560.3586503436104,1595.8810432235534
62,1657.8711367306319,1593.2455706184987
63,1557.723177738556,1382.4077622141276
64,1647.3292463104135,1382.4077622141276
65,1555.087705133501,1324.4273649029255
66,1660.5066093356868,1319.1564196928164
67,1547.1812873183371,1118.8605017086638
68,1657.8711367306319,1121.4959743137183
69,1560.3586503436104,1063.5155770025162
70,1660.5066093356868,1063.5155770025162
71,1549.8167599233916,860.584186413309
72,1657.8711367306319,860.584186413309
73,1562.9941229486649,802.6037891021069
74,1665.7775545457962,799.9683164970525
